Catégorie;Français;Shimaoré;Audio Shimaoré;Kibouchi;Audio Kibouchi;Corrections / Notes
tradition;chant religieux mixte;shengué/madjlis;traditions/Maoulida shengué-madjlis.m4a;maoulida shengué/madjlis;traditions/Maoulida shengué-madjlis.m4a;
tradition;chant traditionnelle;mgodro;traditions/Mgodro.m4a;mgodro;traditions/Mgodro.m4a;
tradition;cérémonie;shouhouli;traditions/Shouhouli.m4a;shouhouli;traditions/Shouhouli.m4a;
tradition;danse traditionnelle femme;mbiwi/wadhaha;traditions/Mbiwi-wadhaha.m4a;ambiw/wadhaha;traditions/Mbiwi-wadhaha.m4a;
tradition;danse traditionnelle mixte;shigoma;traditions/Shigoma.m4a;shigoma;traditions/Shigoma.m4a;
tradition;fiançailles;mafounguidzo;traditions/Mafounguidzo.m4a;mafounguidzo;traditions/Mafounguidzo.m4a;
tradition;grand mariage;manzaraka;traditions/Manzaraka.m4a;manzaraka;traditions/Manzaraka.m4a;
tradition;mariage;haroussi;traditions/Haroussi.m4a;haroussi;traditions/Haroussi.m4a;
tradition;rite de la pluie;mgourou;traditions/Mgourou.m4a;mgourou;traditions/Mgourou.m4a;
tradition;tamtam boeuf;ngoma ya nyombé;traditions/Ngoma ya nyombé.m4a;vala naoumbi;traditions/Ngoma ya nyombé.m4a;
transport;Avion;ndrègué;NON;roplani;NON;
transport;Barge;markabou;NON;markabou;NON;
transport;Motos;monto;NON;monto;NON;
transport;Pirogue;laka;NON;lakana;NON;
transport;Taxis;taxi;NON;taxi;NON;
transport;Vedettes;kwassa kwassa;NON;videti;NON;
transport;Vélos;bicycleti;NON;bicycleti;NON;
verbes;Abîmer;oumengna;NON;mandroubaka;NON;
verbes;Acheter;ounounoua;NON;mivanga;NON;
verbes;Aimer;ouvendza;NON;mitiya;NON;
verbes;Aller;ouendra;NON;mandeha;NON;
verbes;Allumer;oupatsa;NON;mikoupatsa;NON;
verbes;Amener/apporter;ouvinga;NON;mandèyi;NON;
verbes;Apprendre;oufoundriha;NON;midzorou;NON;
verbes;Arnaquer;ou ravi;NON;mangalatra;NON;
verbes;Arrêter;ouziya;NON;mitsahatra;NON;
verbes;Attendre;oulindra;NON;mandigni;NON;
verbes;Attraper;oubara;NON;missamboutrou;NON;
verbes;Avertir;outahadaricha;NON;mampahéyi;NON;
verbes;Balayer;ouhoundza;NON;mamafa;NON;
verbes;Boire;ounoua;NON;mindranou;NON;
verbes;Bouger;outsenguéléya;NON;mitéki;NON;
verbes;Changer;ougaoudza;NON;mamadiki;NON;
verbes;Combler;oufitsiya;NON;mankahampi;NON;
verbes;Commencer;ouhandrissa;NON;mitaponou;NON;
verbes;Comprendre;ouéléwa;NON;kouéléwa;NON;
verbes;Connaître;oujoua;NON;méhèyi;NON;
verbes;Couper;oukatra;NON;manapaka;NON;
verbes;Couper du bois;oupasouha kuni;NON;mamaki azoumati;NON;
verbes;Courir;wendra mbiyo;NON;miloumeyi;NON;
verbes;Cracher;outra marré;NON;mandrora;NON;
verbes;Creuser;outsimba;NON;mangadi;NON;
verbes;Croire;ouamini;NON;koimini;NON;
verbes;Cueillir;oupoua;NON;mampoka;NON;
verbes;Cuisiner;oupiha;NON;mahandrou;NON;
verbes;Cultiver;oulima;NON;mikapa;NON;
verbes;Danser;ouzina;NON;mitsindzaka;NON;
verbes;Demander;oudzissa;NON;magnoutani;NON;
verbes;Devenir;ougawouha;NON;mivadiki;NON;
verbes;Devoir;oulazimou;NON;tokoutrou;NON;
verbes;Dire;ourongoa;NON;mangnabara;NON;
verbes;Donner;ouva;NON;magnamiya;NON;
verbes;Dormir;oulala;NON;mandri;NON;
verbes;Embrasser;ounouka;NON;mihoroukou;NON;
verbes;Entrer;ounguiya;NON;mihiditri;NON;
verbes;Essayer;oudjérébou;NON;mikoudjérébou;NON;
verbes;Essuyer;ouvangouha;NON;mamitri;NON;
verbes;Faire caca;ougna madzi;NON;manguéri;NON;
verbes;Faire le lit;ouhodza;NON;mandzari koubani;NON;
verbes;Faire pipi;ougna kojo;NON;mamani;NON;
verbes;Faire sécher;ouhoumisa;NON;manapi;NON;
verbes;Fermer;oubala;NON;migadra;NON;
verbes;Finir;oumalidza;NON;mankéfa;NON;
verbes;Flatuler;oujamba;NON;manguétoutrou;NON;
verbes;Frapper;ourema;NON;mamangou;NON;
verbes;Gratter;oukouwa;NON;mihotrou;NON;
verbes;Griller;ouwoha;NON;mitonou;NON;
verbes;Informer;oujoudza;NON;mangnabara;NON;
verbes;Jeter;ouvoutsa;NON;manopi;NON;
verbes;Jouer;oungadza;NON;msoma;NON;
verbes;Laisser;oulicha;NON;mangnambéla;NON;
verbes;Lire;ousoma;NON;midzorou;NON;
verbes;Manger;oudhya;NON;mihinagna;NON;
verbes;Marcher;ouendra;NON;mandéha;NON;
verbes;Mettre;outria;NON;mangnanou;NON;
verbes;Mordre;ouka magno;NON;mangnékitri;NON;
verbes;Ouvrir;ouboua;NON;mampibiyangna;NON;
verbes;Paraître;ouwonehoua;NON;ouhitagna;NON;
verbes;Parler;oulagoua;NON;mivoulangna;NON;
verbes;Passer;ouvira;NON;mihomba;NON;
verbes;Peindre;ouvaha;NON;magnossoutrou;NON;
verbes;Penser;oufikiri;NON;midzéri;NON;
verbes;Piler;oudoudoua;NON;mandissa;NON;
verbes;Planter;outabou;NON;mamboli;NON;
verbes;Pouvoir;ouchindra;NON;mahaléou;NON;
verbes;Prendre;ourenga;NON;mangala;NON;
verbes;Ranger/arranger;ourenguélédza;NON;magnadzari;NON;
verbes;Rapprocher;outsenguéléya;NON;magnatougnou;NON;
verbes;Rester;ouketsi;NON;mipétraka;NON;
verbes;Réchauffer;ouhelesedza;NON;mamana;NON;
verbes;Récolter;ouvouna;NON;mampoka;NON;
verbes;Répondre;oudjibou;NON;mikoudjibou;NON;
verbes;Réussir;ouchindra;NON;mahaléou;NON;
verbes;S'asseoir;ouketsi;NON;mipétraka;NON;
verbes;Sauter;ouarouka;NON;mivongna;NON;
verbes;Savoir;oujoua;NON;méhèyi;NON;
verbes;Se baigner;ouhowa;NON;misséki;NON;
verbes;Se laver;ouhowa;NON;misséki;NON;
verbes;Se laver le derrière;outsamba;NON;mambouyi;NON;
verbes;Se peigner;oupengné;NON;mipèngni;NON;
verbes;Se rappeler;oumaézi;NON;koufahamou;NON;
verbes;Se raser;oumea ndrevu;NON;manapaka somboutrou;NON;
verbes;Sembler;oufana;NON;mamhiragna;NON;
verbes;Sortir;oulawa;NON;miboka;NON;
verbes;Suivre;oulounga;NON;mangnaraka;NON;
verbes;Tenir;oussika;NON;mitana;NON;
verbes;Tomber;oupouliha;NON;latsaka;NON;
verbes;Traverser;ouchiya;NON;mitsaka;NON;
verbes;Tremper;oulodza;NON;mandzoubougnou;NON;
verbes;Tresser;oussouka;NON;mitali/mandrari;NON;
verbes;Trouver;oupara;NON;mahazou;NON;
verbes;Tuer;ouwoula;NON;mamounou;NON;
verbes;Vendre;ouhoudza;NON;mandafou;NON;
verbes;Venir;ouja;NON;havi;NON;
verbes;Vivre;ouyinchi;NON;mikouènchi;NON;
verbes;Voir;ouona;NON;mahita;NON;
verbes;Vomir;ou raviha;NON;mandouwa;NON;
verbes;Vouloir;outsaha;NON;chokou;NON;
verbes;Écouter;ouvoulikia;NON;mitangréngni;NON;
verbes;Écrire;ouhanguiha;NON;mikouandika;NON;
verbes;Éteindre;ouzima;NON;mamounou;NON;
verbes;Étendre au soleil;ouaniha;NON;manapi;NON;
vetements;Baskets/sneakers;magochi;NON;magochi;NON;
vetements;Chapeau;kofia;NON;koufia;NON;
vetements;Chaussures;kabwa;NON;kabwa;NON;
vetements;Chemise;chimizi;NON;chimizi;NON;
vetements;Haut de salouva;body;NON;body;NON;
vetements;Jupe;jipo;NON;jipou;NON;
vetements;Kamiss/boubou;candzou bolé;NON;ancandzou bé;NON;
vetements;Pantalon;sourouali;NON;sourouali;NON;
vetements;Robe;robo;NON;robou;NON;
vetements;Salouva;salouva;NON;slouvagna;NON;
vetements;Short;kaliso;NON;kaliso;NON;
vetements;Sous vêtement;silipou;NON;silipou;NON;
vetements;T shirt;kandzou;NON;ancandzou;NON;
vetements;Tongs;sapatri;NON;kabwa sapatri;NON;
vetements;Voile;kichali;NON;kichali;NON;
vetements;Vêtement;ngouwo;NON;ancandzou;NON;
